year,month,value
2021,1,1.87
2021,2,1.94
2021,3,1.8
2021,4,1.87
2021,5,1.94
2021,6,1.8
2021,7,1.87
2021,8,1.94
2021,9,1.8
2021,10,1.87
2021,11,1.94
2021,12,1.8
2022,1,2.05
2022,2,2.12
2022,3,1.98
2022,4,2.05
2022,5,2.12
2022,6,1.98
2022,7,2.05
2022,8,2.12
2022,9,1.98
2022,10,2.05
2022,11,2.12
2022,12,1.98
2023,1,2.23
2023,2,2.3
2023,3,2.16
2023,4,2.23
2023,5,2.3
2023,6,2.16
2023,7,2.23
2023,8,2.3
2023,9,2.16
2023,10,2.23
2023,11,2.3
2023,12,2.16
2024,1,2.41
2024,2,2.48
2024,3,2.34
2024,4,2.41
2024,5,2.48
2024,6,2.34
2024,7,2.41
2024,8,2.48
2024,9,2.34
2024,10,2.41
2024,11,2.48
2024,12,2.34
2025,1,2.59
2025,2,2.66
2025,3,2.52
2025,4,2.59
2025,5,2.66
2025,6,2.52
2025,7,2.59
2025,8,2.66
2025,9,2.52
2025,10,2.59
2025,11,2.66
2025,12,2.52
