year,month,value
2021,1,58
2021,2,61
2021,3,64
2021,4,67
2021,5,70
2021,6,55
2021,7,58
2021,8,61
2021,9,64
2021,10,67
2021,11,70
2021,12,55
2022,1,60
2022,2,63
2022,3,66
2022,4,69
2022,5,72
2022,6,57
2022,7,60
2022,8,63
2022,9,66
2022,10,69
2022,11,72
2022,12,57
2023,1,62
2023,2,65
2023,3,68
2023,4,71
2023,5,74
2023,6,59
2023,7,62
2023,8,65
2023,9,68
2023,10,71
2023,11,74
2023,12,59
2024,1,64
2024,2,67
2024,3,70
2024,4,73
2024,5,76
2024,6,61
2024,7,64
2024,8,67
2024,9,70
2024,10,73
2024,11,76
2024,12,61
2025,1,66
2025,2,69
2025,3,72
2025,4,75
2025,5,78
2025,6,63
2025,7,66
2025,8,69
2025,9,72
2025,10,75
2025,11,78
2025,12,63
