year,month,value
2021,1,66.8
2021,2,68.6
2021,3,70.4
2021,4,72.2
2021,5,74.0
2021,6,65.0
2021,7,66.8
2021,8,68.6
2021,9,70.4
2021,10,72.2
2021,11,74.0
2021,12,65.0
2022,1,67.5
2022,2,69.3
2022,3,71.1
2022,4,72.9
2022,5,74.7
2022,6,65.7
2022,7,67.5
2022,8,69.3
2022,9,71.1
2022,10,72.9
2022,11,74.7
2022,12,65.7
2023,1,68.2
2023,2,70.0
2023,3,71.8
2023,4,73.6
2023,5,75.4
2023,6,66.4
2023,7,68.2
2023,8,70.0
2023,9,71.8
2023,10,73.6
2023,11,75.4
2023,12,66.4
2024,1,68.9
2024,2,70.7
2024,3,72.5
2024,4,74.3
2024,5,76.1
2024,6,67.1
2024,7,68.9
2024,8,70.7
2024,9,72.5
2024,10,74.3
2024,11,76.1
2024,12,67.1
2025,1,69.6
2025,2,71.4
2025,3,73.2
2025,4,75.0
2025,5,76.8
2025,6,67.8
2025,7,69.6
2025,8,71.4
2025,9,73.2
2025,10,75.0
2025,11,76.8
2025,12,67.8
