year,month,value
2021,1,1.55
2021,2,1.9
2021,3,2.25
2021,4,2.6
2021,5,1.2
2021,6,1.55
2021,7,1.9
2021,8,2.25
2021,9,2.6
2021,10,1.2
2021,11,1.55
2021,12,1.9
2022,1,1.55
2022,2,1.9
2022,3,2.25
2022,4,2.6
2022,5,1.2
2022,6,1.55
2022,7,1.9
2022,8,2.25
2022,9,2.6
2022,10,1.2
2022,11,1.55
2022,12,1.9
2023,1,1.55
2023,2,1.9
2023,3,2.25
2023,4,2.6
2023,5,1.2
2023,6,1.55
2023,7,1.9
2023,8,2.25
2023,9,2.6
2023,10,1.2
2023,11,1.55
2023,12,1.9
2024,1,1.55
2024,2,1.9
2024,3,2.25
2024,4,2.6
2024,5,1.2
2024,6,1.55
2024,7,1.9
2024,8,2.25
2024,9,2.6
2024,10,1.2
2024,11,1.55
2024,12,1.9
2025,1,1.55
2025,2,1.9
2025,3,2.25
2025,4,2.6
2025,5,1.2
2025,6,1.55
2025,7,1.9
2025,8,2.25
2025,9,2.6
2025,10,1.2
2025,11,1.55
2025,12,1.9
