year,month,value
2021,1,2.7
2021,2,2.9
2021,3,3.1
2021,4,2.5
2021,5,2.7
2021,6,2.9
2021,7,3.1
2021,8,2.5
2021,9,2.7
2021,10,2.9
2021,11,3.1
2021,12,2.5
2022,1,2.95
2022,2,3.15
2022,3,3.35
2022,4,2.75
2022,5,2.95
2022,6,3.15
2022,7,3.35
2022,8,2.75
2022,9,2.95
2022,10,3.15
2022,11,3.35
2022,12,2.75
2023,1,3.2
2023,2,3.4
2023,3,3.6
2023,4,3.0
2023,5,3.2
2023,6,3.4
2023,7,3.6
2023,8,3.0
2023,9,3.2
2023,10,3.4
2023,11,3.6
2023,12,3.0
2024,1,3.45
2024,2,3.65
2024,3,3.85
2024,4,3.25
2024,5,3.45
2024,6,3.65
2024,7,3.85
2024,8,3.25
2024,9,3.45
2024,10,3.65
2024,11,3.85
2024,12,3.25
2025,1,3.7
2025,2,3.9
2025,3,4.1
2025,4,3.5
2025,5,3.7
2025,6,3.9
2025,7,4.1
2025,8,3.5
2025,9,3.7
2025,10,3.9
2025,11,4.1
2025,12,3.5
