year,month,value
2021,1,2.2
2021,2,2.1
2021,3,2.2
2021,4,2.1
2021,5,2.2
2021,6,2.1
2021,7,2.2
2021,8,2.1
2021,9,2.2
2021,10,2.1
2021,11,2.2
2021,12,2.1
2022,1,2.4
2022,2,2.3
2022,3,2.4
2022,4,2.3
2022,5,2.4
2022,6,2.3
2022,7,2.4
2022,8,2.3
2022,9,2.4
2022,10,2.3
2022,11,2.4
2022,12,2.3
2023,1,2.6
2023,2,2.5
2023,3,2.6
2023,4,2.5
2023,5,2.6
2023,6,2.5
2023,7,2.6
2023,8,2.5
2023,9,2.6
2023,10,2.5
2023,11,2.6
2023,12,2.5
2024,1,2.8
2024,2,2.7
2024,3,2.8
2024,4,2.7
2024,5,2.8
2024,6,2.7
2024,7,2.8
2024,8,2.7
2024,9,2.8
2024,10,2.7
2024,11,2.8
2024,12,2.7
2025,1,3.0
2025,2,2.9
2025,3,3.0
2025,4,2.9
2025,5,3.0
2025,6,2.9
2025,7,3.0
2025,8,2.9
2025,9,3.0
2025,10,2.9
2025,11,3.0
2025,12,2.9
