year,month,value
2021,1,23000
2021,2,26000
2021,3,29000
2021,4,32000
2021,5,35000
2021,6,38000
2021,7,41000
2021,8,44000
2021,9,47000
2021,10,50000
2021,11,53000
2021,12,56000
2022,1,173000
2022,2,176000
2022,3,179000
2022,4,182000
2022,5,185000
2022,6,188000
2022,7,191000
2022,8,194000
2022,9,197000
2022,10,200000
2022,11,203000
2022,12,206000
2023,1,323000
2023,2,326000
2023,3,329000
2023,4,332000
2023,5,335000
2023,6,338000
2023,7,341000
2023,8,344000
2023,9,347000
2023,10,350000
2023,11,353000
2023,12,356000
2024,1,473000
2024,2,476000
2024,3,479000
2024,4,482000
2024,5,485000
2024,6,488000
2024,7,491000
2024,8,494000
2024,9,497000
2024,10,500000
2024,11,503000
2024,12,506000
2025,1,623000
2025,2,626000
2025,3,629000
2025,4,632000
2025,5,635000
2025,6,638000
2025,7,641000
2025,8,644000
2025,9,647000
2025,10,650000
2025,11,653000
2025,12,656000
