year,month,value
2021,1,
2021,2,LNY:12
2021,3,
2021,4,
2021,5,
2021,6,
2021,7,
2021,8,
2021,9,MA:21
2021,10,
2021,11,
2021,12,
2022,1,
2022,2,LNY:1
2022,3,
2022,4,
2022,5,
2022,6,
2022,7,
2022,8,
2022,9,MA:10
2022,10,
2022,11,
2022,12,
2023,1,LNY:22
2023,2,
2023,3,
2023,4,
2023,5,
2023,6,
2023,7,
2023,8,
2023,9,MA:29
2023,10,
2023,11,
2023,12,
2024,1,
2024,2,LNY:10
2024,3,
2024,4,
2024,5,
2024,6,
2024,7,
2024,8,
2024,9,MA:17
2024,10,
2024,11,
2024,12,
2025,1,LNY:29
2025,2,
2025,3,
2025,4,
2025,5,
2025,6,
2025,7,
2025,8,
2025,9,
2025,10,MA:6
2025,11,
2025,12,
