year,month,value
2021,1,100.4
2021,2,100.8
2021,3,101.2
2021,4,101.6
2021,5,102.0
2021,6,102.4
2021,7,102.8
2021,8,103.2
2021,9,103.6
2021,10,104.0
2021,11,104.4
2021,12,104.8
2022,1,102.9
2022,2,103.3
2022,3,103.7
2022,4,104.1
2022,5,104.5
2022,6,104.9
2022,7,105.3
2022,8,105.7
2022,9,106.1
2022,10,106.5
2022,11,106.9
2022,12,107.3
2023,1,105.4
2023,2,105.8
2023,3,106.2
2023,4,106.6
2023,5,107.0
2023,6,107.4
2023,7,107.8
2023,8,108.2
2023,9,108.6
2023,10,109.0
2023,11,109.4
2023,12,109.8
2024,1,107.9
2024,2,108.3
2024,3,108.7
2024,4,109.1
2024,5,109.5
2024,6,109.9
2024,7,110.3
2024,8,110.7
2024,9,111.1
2024,10,111.5
2024,11,111.9
2024,12,112.3
2025,1,110.4
2025,2,110.8
2025,3,111.2
2025,4,111.6
2025,5,112.0
2025,6,112.4
2025,7,112.8
2025,8,113.2
2025,9,113.6
2025,10,114.0
2025,11,114.4
2025,12,114.8
