year,month,value
2021,1,2.35
2021,2,2.5
2021,3,2.65
2021,4,2.8
2021,5,2.2
2021,6,2.35
2021,7,2.5
2021,8,2.65
2021,9,2.8
2021,10,2.2
2021,11,2.35
2021,12,2.5
2022,1,2.57
2022,2,2.72
2022,3,2.87
2022,4,3.02
2022,5,2.42
2022,6,2.57
2022,7,2.72
2022,8,2.87
2022,9,3.02
2022,10,2.42
2022,11,2.57
2022,12,2.72
2023,1,2.79
2023,2,2.94
2023,3,3.09
2023,4,3.24
2023,5,2.64
2023,6,2.79
2023,7,2.94
2023,8,3.09
2023,9,3.24
2023,10,2.64
2023,11,2.79
2023,12,2.94
2024,1,3.01
2024,2,3.16
2024,3,3.31
2024,4,3.46
2024,5,2.86
2024,6,3.01
2024,7,3.16
2024,8,3.31
2024,9,3.46
2024,10,2.86
2024,11,3.01
2024,12,3.16
2025,1,3.23
2025,2,3.38
2025,3,3.53
2025,4,3.68
2025,5,3.08
2025,6,3.23
2025,7,3.38
2025,8,3.53
2025,9,3.68
2025,10,3.08
2025,11,3.23
2025,12,3.38
