year,month,value
2021,1,60.2
2021,2,62.4
2021,3,64.6
2021,4,66.8
2021,5,69.0
2021,6,71.2
2021,7,58.0
2021,8,60.2
2021,9,62.4
2021,10,64.6
2021,11,66.8
2021,12,69.0
2022,1,61.7
2022,2,63.9
2022,3,66.1
2022,4,68.3
2022,5,70.5
2022,6,72.7
2022,7,59.5
2022,8,61.7
2022,9,63.9
2022,10,66.1
2022,11,68.3
2022,12,70.5
2023,1,63.2
2023,2,65.4
2023,3,67.6
2023,4,69.8
2023,5,72.0
2023,6,74.2
2023,7,61.0
2023,8,63.2
2023,9,65.4
2023,10,67.6
2023,11,69.8
2023,12,72.0
2024,1,64.7
2024,2,66.9
2024,3,69.1
2024,4,71.3
2024,5,73.5
2024,6,75.7
2024,7,62.5
2024,8,64.7
2024,9,66.9
2024,10,69.1
2024,11,71.3
2024,12,73.5
2025,1,66.2
2025,2,68.4
2025,3,70.6
2025,4,72.8
2025,5,75.0
2025,6,77.2
2025,7,64.0
2025,8,66.2
2025,9,68.4
2025,10,70.6
2025,11,72.8
2025,12,75.0
