year,month,value
2021,1,0.262
2021,2,0.264
2021,3,0.266
2021,4,0.26
2021,5,0.262
2021,6,0.264
2021,7,0.266
2021,8,0.26
2021,9,0.262
2021,10,0.264
2021,11,0.266
2021,12,0.26
2022,1,0.263
2022,2,0.265
2022,3,0.267
2022,4,0.261
2022,5,0.263
2022,6,0.265
2022,7,0.267
2022,8,0.261
2022,9,0.263
2022,10,0.265
2022,11,0.267
2022,12,0.261
2023,1,0.264
2023,2,0.266
2023,3,0.268
2023,4,0.262
2023,5,0.264
2023,6,0.266
2023,7,0.268
2023,8,0.262
2023,9,0.264
2023,10,0.266
2023,11,0.268
2023,12,0.262
2024,1,0.265
2024,2,0.267
2024,3,0.269
2024,4,0.263
2024,5,0.265
2024,6,0.267
2024,7,0.269
2024,8,0.263
2024,9,0.265
2024,10,0.267
2024,11,0.269
2024,12,0.263
2025,1,0.266
2025,2,0.268
2025,3,0.27
2025,4,0.264
2025,5,0.266
2025,6,0.268
2025,7,0.27
2025,8,0.264
2025,9,0.266
2025,10,0.268
2025,11,0.27
2025,12,0.264
