year,month,value
2021,1,28.25
2021,2,28.5
2021,3,28.0
2021,4,28.25
2021,5,28.5
2021,6,28.0
2021,7,28.25
2021,8,28.5
2021,9,28.0
2021,10,28.25
2021,11,28.5
2021,12,28.0
2022,1,28.45
2022,2,28.7
2022,3,28.2
2022,4,28.45
2022,5,28.7
2022,6,28.2
2022,7,28.45
2022,8,28.7
2022,9,28.2
2022,10,28.45
2022,11,28.7
2022,12,28.2
2023,1,28.65
2023,2,28.9
2023,3,28.4
2023,4,28.65
2023,5,28.9
2023,6,28.4
2023,7,28.65
2023,8,28.9
2023,9,28.4
2023,10,28.65
2023,11,28.9
2023,12,28.4
2024,1,28.85
2024,2,29.1
2024,3,28.6
2024,4,28.85
2024,5,29.1
2024,6,28.6
2024,7,28.85
2024,8,29.1
2024,9,28.6
2024,10,28.85
2024,11,29.1
2024,12,28.6
2025,1,29.05
2025,2,29.3
2025,3,28.8
2025,4,29.05
2025,5,29.3
2025,6,28.8
2025,7,29.05
2025,8,29.3
2025,9,28.8
2025,10,29.05
2025,11,29.3
2025,12,28.8
