year,month,value
2021,1,3.93
2021,2,3.96
2021,3,3.99
2021,4,3.9
2021,5,3.93
2021,6,3.96
2021,7,3.99
2021,8,3.9
2021,9,3.93
2021,10,3.96
2021,11,3.99
2021,12,3.9
2022,1,3.85
2022,2,3.88
2022,3,3.91
2022,4,3.82
2022,5,3.85
2022,6,3.88
2022,7,3.91
2022,8,3.82
2022,9,3.85
2022,10,3.88
2022,11,3.91
2022,12,3.82
2023,1,3.77
2023,2,3.8
2023,3,3.83
2023,4,3.74
2023,5,3.77
2023,6,3.8
2023,7,3.83
2023,8,3.74
2023,9,3.77
2023,10,3.8
2023,11,3.83
2023,12,3.74
2024,1,3.69
2024,2,3.72
2024,3,3.75
2024,4,3.66
2024,5,3.69
2024,6,3.72
2024,7,3.75
2024,8,3.66
2024,9,3.69
2024,10,3.72
2024,11,3.75
2024,12,3.66
2025,1,3.61
2025,2,3.64
2025,3,3.67
2025,4,3.58
2025,5,3.61
2025,6,3.64
2025,7,3.67
2025,8,3.58
2025,9,3.61
2025,10,3.64
2025,11,3.67
2025,12,3.58
