feature,importance
dept_store_sales,0.0
retail_food_index,0.0
cci_index,0.0
cpi_food_yoy_pct,0.0
avg_wage_yoy_pct,0.0
unemployment_rate,0.0
twd_jpy_rate,0.0
twd_usd_rate,0.0
inbound_tourists,0.0
bsi_index,0.0
gdp_yoy_pct,0.0
private_consumption_real_yoy_pct,0.0
gift_market_sentiment_index,0.0
stock_wealth_effect_index,0.0
working_days,0.0
has_lunar_new_year,0.0
has_mid_autumn,0.0
sales_yoy_pct,0.0
composition_curr_pct,0.0
composition_prev_pct,0.0
threshold_floor,0.0
threshold_ceiling,0.0
lunar_new_year_day,0.0
mid_autumn_day,0.0
calendar_days,0.0
lead_1_lunar_new_year,0.0
month_sin,0.0
month_cos,0.0
sales_lag_1m,0.0
sales_lag_3m,0.0
sales_lag_12m,0.0
sales_rolling_3m_mean,0.0
sales_rolling_6m_mean,0.0
