feature,importance
composition_curr_pct,0.3523687
has_mid_autumn,0.22563228
sales_lag_12m,0.17863563
month_cos,0.06557338
composition_prev_pct,0.0484218
month_sin,0.032330748
cci_index,0.019708548
sales_rolling_3m_mean,0.012116356
sales_yoy_pct,0.011344879
bsi_index,0.008358753
sales_lag_3m,0.008319711
twd_usd_rate,0.008170556
twd_jpy_rate,0.005873131
stock_wealth_effect_index,0.005750213
sales_rolling_6m_mean,0.003940688
sales_lag_1m,0.0035087464
dept_store_sales,0.0027760058
retail_food_index,0.0021621967
unemployment_rate,0.0010489497
inbound_tourists,0.00094453787
has_lunar_new_year,0.0007771753
avg_wage_yoy_pct,0.0007682305
cpi_food_yoy_pct,0.0006698932
gdp_yoy_pct,0.00043396783
gift_market_sentiment_index,0.0002914032
private_consumption_real_yoy_pct,4.8759674e-05
lead_1_lunar_new_year,2.4714445e-05
working_days,0.0
calendar_days,0.0
threshold_floor,0.0
mid_autumn_day,0.0
lunar_new_year_day,0.0
threshold_ceiling,0.0
