feature,importance
is_peak_month,0.3597098
lead_1_mid_autumn,0.10217304
comp_x_lag12,0.084532365
cny_shift_signal,0.038689654
has_lunar_new_year,0.03810281
month_cos,0.033554956
sales_rolling_3m_mean,0.032675404
sales_lag_6m,0.031614073
sales_lag_12m,0.030548275
sales_lag_1m,0.030491486
lead_1_lunar_new_year,0.022524154
composition_curr_pct,0.021762598
calendar_days,0.019595275
month_sin,0.019501766
lag_12m_cny_adj,0.018814722
has_mid_autumn,0.017460885
composition_prev_pct,0.017322337
working_days,0.016226074
trend_yoy_adj,0.011564943
sales_festival_cny_lag1y,0.010055553
yoy_estimate,0.0100051565
sales_rolling_6m_mean,0.009108612
sales_festival_midautumn_lag1y,0.007456488
report_month,0.007439666
sales_lag_3m,0.005754831
year_in_regime,0.0033150464
lunar_new_year_day,0.0
threshold_ceiling,0.0
threshold_floor,0.0
mid_autumn_day,0.0
midautumn_shift_signal,0.0
