feature,importance
is_peak_month,0.505055
composition_curr_pct,0.11476017
cny_shift_signal,0.052197434
lag_12m_cny_adj,0.046815652
lead_1_lunar_new_year,0.035959374
sales_festival_cny_lag1y,0.03281909
composition_prev_pct,0.03168946
lead_1_mid_autumn,0.023568207
sales_lag_1m,0.023329245
month_cos,0.022850826
sales_lag_6m,0.018845798
sales_festival_midautumn_lag1y,0.016404226
report_month,0.012100621
month_sin,0.011300297
has_mid_autumn,0.00879904
working_days,0.007932423
calendar_days,0.0074147196
sales_rolling_3m_mean,0.006594379
threshold_floor,0.0049725277
sales_lag_3m,0.0042624446
has_lunar_new_year,0.004169603
year_in_regime,0.004011687
sales_rolling_6m_mean,0.0031663107
midautumn_shift_signal,0.0009813814
lunar_new_year_day,0.0
mid_autumn_day,0.0
threshold_ceiling,0.0
