feature,importance
comp_x_lag12,0.35637358
is_peak_month,0.13405763
lead_1_mid_autumn,0.054726508
cny_shift_signal,0.048880875
sales_lag_12m,0.03915076
calendar_days,0.037194565
has_lunar_new_year,0.035454754
lead_1_lunar_new_year,0.034143537
month_cos,0.029148566
composition_curr_pct,0.026780762
month_sin,0.024496747
composition_prev_pct,0.022170229
has_mid_autumn,0.018260121
sales_lag_1m,0.017149592
lag_12m_cny_adj,0.015006921
trend_yoy_adj,0.014899518
threshold_ceiling,0.012813637
yoy_estimate,0.0125881815
sales_festival_midautumn_lag1y,0.009433532
sales_lag_6m,0.009248994
report_month,0.008686311
sales_rolling_3m_mean,0.008538442
sales_lag_3m,0.008251343
year_in_regime,0.007878789
sales_festival_cny_lag1y,0.004246685
sales_rolling_6m_mean,0.004055155
working_days,0.0038786002
midautumn_shift_signal,0.0024856802
mid_autumn_day,0.0
lunar_new_year_day,0.0
threshold_floor,0.0
